head,tail,relation,source,doc
心电图,心血管疾病,检查-辅助诊断-疾病,,
心电图,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
心电图,支气管哮喘,检查-辅助诊断-疾病,,
心电图,支气管扩张,检查-辅助诊断-疾病,,
心电图,肺动脉高压,检查-辅助诊断-疾病,,
心电图,肺栓塞,检查-辅助诊断-疾病,,
线胸片,呼吸衰竭,检查-辅助诊断-疾病,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
线胸片,心力衰竭,检查-辅助诊断-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,慢性支气管炎,检查-辅助诊断-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
线胸片,支气管扩张,检查-辅助诊断-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,细支气管炎,检查-辅助诊断-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,肺炎,检查-辅助诊断-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,肺癌,检查-辅助诊断-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
线胸片,肺结核,检查-辅助诊断-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
线胸片,鼻窦炎,检查-辅助诊断-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺功能,右心衰竭,检查-辅助诊断-疾病,,
肺功能,呼吸衰竭,检查-辅助诊断-疾病,,
肺功能,心力衰竭,检查-辅助诊断-疾病,,
肺功能,心血管疾病,检查-辅助诊断-疾病,,
肺功能,慢性支气管炎,检查-辅助诊断-疾病,,
肺功能,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
肺功能,支气管哮喘,检查-辅助诊断-疾病,,
肺功能,支气管扩张,检查-辅助诊断-疾病,,
肺功能,肺炎,检查-辅助诊断-疾病,,
肺功能,肺癌,检查-辅助诊断-疾病,,
肺功能,肺结核,检查-辅助诊断-疾病,,
肺功能,阻塞性睡眠呼吸暂停,检查-辅助诊断-疾病,,
肺功能,鼻窦炎,检查-辅助诊断-疾病,,
脉搏血氧,呼吸衰竭,检查-辅助诊断-疾病,,
脉搏血氧,心力衰竭,检查-辅助诊断-疾病,,
脉搏血氧,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
血嗜酸粒细胞计数,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
血嗜酸粒细胞计数,支气管哮喘,检查-辅助诊断-疾病,,
血常规,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
血常规,红细胞增多症,检查-辅助诊断-疾病,,
血常规,贫血,检查-辅助诊断-疾病,,
血气分析,右心衰竭,检查-辅助诊断-疾病,,
血气分析,呼吸衰竭,检查-辅助诊断-疾病,,
血气分析,心力衰竭,检查-辅助诊断-疾病,,
血气分析,心血管疾病,检查-辅助诊断-疾病,,
血气分析,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
血气分析,支气管扩张,检查-辅助诊断-疾病,,
血气分析,肺癌,检查-辅助诊断-疾病,,
超声心动图,心力衰竭,检查-辅助诊断-疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
超声心动图,心血管疾病,检查-辅助诊断-疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
超声心动图,肺动脉高压,检查-辅助诊断-疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
三联疗法,慢性阻塞性肺疾病,治疗-改善-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
体位引流,支气管扩张,治疗-改善-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
戒烟,慢性阻塞性肺疾病,治疗-改善-疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
手术切除,肺癌,治疗-改善-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
抗感染,慢性阻塞性肺疾病,治疗-改善-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
抗感染,支气管扩张,治疗-改善-疾病,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
抗感染,支气管炎,治疗-改善-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
抗感染,肺炎,治疗-改善-疾病,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
抗感染,鼻后滴流综合征,治疗-改善-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
抗感染,鼻窦炎,治疗-改善-疾病,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
无创通气,呼吸衰竭,治疗-改善-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
无创通气,心力衰竭,治疗-改善-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺康复,心力衰竭,治疗-改善-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺康复,慢性支气管炎,治疗-改善-疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
肺康复,慢性阻塞性肺疾病,治疗-改善-疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
肺康复,支气管扩张,治疗-改善-疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
阻抗训练,慢性阻塞性肺疾病,治疗-改善-疾病,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
三联疗法,呼吸困难,治疗-改善-症状,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
体位引流,慢性咳嗽,治疗-改善-症状,,
健脾,中成药,治疗-改善-症状,,
健脾,呕吐,治疗-改善-症状,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
健脾,咳痰,治疗-改善-症状,,
健脾,喘息,治疗-改善-症状,,
健脾,头晕,治疗-改善-症状,,
健脾,意识障碍,治疗-改善-症状,,
健脾,慢性咳嗽,治疗-改善-症状,,
健脾,气虚,治疗-改善-症状,,
健脾,祛邪,治疗-改善-症状,,
健脾,肺脾气虚,治疗-改善-症状,,
宣肺止咳,慢性咳嗽,治疗-改善-症状,,
宣肺止咳,肺脾气虚,治疗-改善-症状,,
宣肺止咳,风寒袭肺,治疗-改善-症状,,
戒烟,呼吸困难,治疗-改善-症状,,
戒烟,啰音,治疗-改善-症状,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
戒烟,失眠,治疗-改善-症状,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
戒烟,头晕,治疗-改善-症状,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
戒烟,慢性咳嗽,治疗-改善-症状,,
戒烟,腹胀,治疗-改善-症状,,
手术切除,慢性咳嗽,治疗-改善-症状,,
抗感染,喘息,治疗-改善-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
无创通气,乏力,治疗-改善-症状,,
无创通气,呼吸困难,治疗-改善-症状,,
无创通气,咳痰,治疗-改善-症状,,
无创通气,慢性咳嗽,治疗-改善-症状,,
活血,中成药,治疗-改善-症状,,
活血,失眠,治疗-改善-症状,,
活血,头晕,治疗-改善-症状,,
活血,气虚,治疗-改善-症状,,
活血,祛邪,治疗-改善-症状,,
活血,肌肉酸痛,治疗-改善-症状,cooccurrence,49_国际中医临床实践指南 慢性阻塞性肺疾病(2020)_cleaned.txt
活血,肢体酸痛,治疗-改善-症状,,
活血,胸闷,治疗-改善-症状,,
活血,腹泻,治疗-改善-症状,,
益肺灸,中成药,治疗-改善-症状,,
益肺灸,气虚,治疗-改善-症状,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
益肾,中成药,治疗-改善-症状,,
益肾,呼吸困难,治疗-改善-症状,,
益肾,慢性咳嗽,治疗-改善-症状,,
益肾,气虚,治疗-改善-症状,,
益肾,祛邪,治疗-改善-症状,,
益肾,肺脾气虚,治疗-改善-症状,,
肺减容手术,呼吸困难,治疗-改善-症状,,
肺康复,呼吸困难,治疗-改善-症状,,
肺康复,喘息,治疗-改善-症状,,
肺康复,慢性咳嗽,治疗-改善-症状,,
肺康复,气虚,治疗-改善-症状,,
舒肺贴,中成药,治疗-改善-症状,,
补肺,中成药,治疗-改善-症状,,
补肺,乏力,治疗-改善-症状,,
补肺,呼吸困难,治疗-改善-症状,,
补肺,喘息,治疗-改善-症状,,
补肺,头晕,治疗-改善-症状,,
补肺,意识障碍,治疗-改善-症状,,
补肺,慢性咳嗽,治疗-改善-症状,,
补肺,气虚,治疗-改善-症状,,
补肺,祛邪,治疗-改善-症状,,
补肺,肺脾气虚,治疗-改善-症状,,
补肺,腹泻,治疗-改善-症状,,
补肺,腹胀,治疗-改善-症状,,
阻抗训练,慢性咳嗽,治疗-改善-症状,,
CVA,变应性鼻炎,疾病-共病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,支气管炎,疾病-共病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,鼻窦炎,疾病-共病,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
变应性鼻炎,鼻窦炎,疾病-共病,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
