排名	词语	频次	PMI	左熵	右熵	综合得分
185	CochraneDatabaseSystRev	12	11.9848	1.771	2.9219	16.6777
186	代谢	9	11.2182	3.1699	2.281	16.6691
187	airflowlimitation	4	12.6652	2.0	2.0	16.6652
188	PulmonDis	5	12.4208	1.9219	2.3219	16.6647
189	衰竭	52	10.3609	1.8836	4.4164	16.6608
190	具有	46	6.8859	5.0724	4.6838	16.642
191	健康状况	21	9.7608	3.2321	3.649	16.6419
192	是否	49	7.9224	4.7676	3.9404	16.6304
193	疾病	278	6.5965	4.5358	5.4961	16.6285
194	给予	10	10.7807	2.5219	3.3219	16.6245
195	妊娠	3	14.7807	0.9183	0.9183	16.6173
196	隐匿	3	14.7807	0.9183	0.9183	16.6173
197	微生态失衡	6	11.7807	2.2516	2.585	16.6173
198	肌肉	9	10.7218	3.1699	2.7255	16.6172
199	Emailzgqkyxchinagpnetcn	18	10.8738	2.4332	3.3083	16.6153
200	特征	37	8.0132	3.9387	4.6618	16.6136
201	轨迹	8	13.0437	1.5613	2.0	16.605
202	进一步	26	8.4648	4.0081	4.1039	16.5768
203	免疫	18	9.9469	3.7947	2.8219	16.5634
204	orggoldreports	3	13.3657	1.585	1.585	16.5356
205	CPMPEWP	6	12.4912	1.7925	2.2516	16.5353
206	辅助	11	11.0702	2.7322	2.7322	16.5345
207	慢阻肺	581	5.9976	6.4537	4.0746	16.526
208	替代	10	10.8296	2.8464	2.8464	16.5225
209	遗传	11	11.3698	2.914	2.2313	16.515
210	方法	29	8.0935	3.7623	4.6511	16.5069
211	密切	6	12.3213	2.585	1.585	16.4912
212	下降	37	7.9982	3.8792	4.6077	16.4851
213	highintensity	4	12.9733	2.0	1.5	16.4733
214	寒冷	4	12.9733	1.5	2.0	16.4733
215	监测	18	8.9357	3.8366	3.6835	16.4558
216	悬浮	3	13.9506	0.9183	1.585	16.4539
217	增加	74	6.5974	4.9925	4.8598	16.4496
218	因此	30	7.5064	4.5899	4.3484	16.4447
219	线胸片	10	10.8706	3.1219	2.4464	16.439
220	气道	79	6.3186	4.8665	5.247	16.432
221	黏液高分泌	9	11.3657	2.4194	2.6416	16.4266
222	世界	6	12.9062	2.2516	1.2516	16.4095
223	扫描	6	12.9062	1.585	1.9183	16.4095
224	方案	58	8.8525	2.7722	4.769	16.3938
225	分析	25	8.3827	3.5239	4.4839	16.3904
226	吸入	141	6.5281	5.7972	4.052	16.3773
227	事件	18	10.3557	2.7029	3.3083	16.3668
228	sleepapnea	4	14.0437	0.8113	1.5	16.355
229	方面	30	7.9015	4.1614	4.2817	16.3446
230	康复	63	8.3352	3.361	4.6427	16.3389
231	longterm	6	11.4588	2.2516	2.585	16.2954
232	干预	36	8.4994	3.8016	3.9886	16.2895
233	全身	28	8.5565	4.2534	3.4758	16.2857
234	chenrcvip163com	3	13.7807	0.9183	1.585	16.284
235	麻疹	3	13.7807	0.9183	1.585	16.284
236	DOI101056	21	7.5843	4.3923	4.2971	16.2737
237	163com	4	13.4588	0.8113	2.0	16.27
238	可能	106	5.5082	5.682	5.0793	16.2695
239	广泛	9	10.6652	2.9477	2.6416	16.2545
240	S22132600	15	12.1957	2.0049	2.0131	16.2138
241	咨询	3	13.0437	1.585	1.585	16.2137
242	负荷	7	11.1562	2.2359	2.8074	16.1995
243	ObstructivePulmonaryDisease	15	11.8717	1.1451	3.1808	16.1976
244	接受	39	7.7819	4.1698	4.2274	16.179
245	FEV1FVC	16	9.7639	3.875	2.5306	16.1695
246	负担	19	10.8192	1.6282	3.7216	16.169
247	气流受限	49	7.0864	4.6805	4.4008	16.1676
248	以及	47	5.9018	5.1981	5.044	16.1439
249	300μl	7	11.7721	2.1281	2.2359	16.1361
250	沙星	8	11.8738	2.0	2.25	16.1238
251	王辰	5	12.2782	1.9219	1.9219	16.122
252	文献	19	9.9924	3.1084	3.0031	16.1039
253	修订版指南	18	9.2182	3.5305	3.3502	16.0989
254	培训	12	10.4369	2.6258	3.0221	16.0848
255	判断	13	9.3519	3.5466	3.1808	16.0793
256	说明	22	9.0356	3.0717	3.9706	16.0779
257	罗氟司特	15	9.2467	2.9232	3.9069	16.0768
258	领域	9	12.6652	1.7527	1.6577	16.0757
259	初始	22	10.1368	3.9706	1.9658	16.0732
260	然而	16	8.6099	4.0	3.4528	16.0628
261	同时	39	6.716	5.0803	4.263	16.0592
262	12842099	4	13.5583	1.0	1.5	16.0583
263	mildtomoderate	4	13.0437	1.5	1.5	16.0437
264	lungcancer	12	10.3433	2.8454	2.8454	16.034
265	采用	29	6.9125	4.3232	4.789	16.0246
266	注意	31	9.1462	2.81	4.0668	16.023
267	心律失常	21	8.3977	3.7257	3.8802	16.0035
268	我国	35	8.116	4.1859	3.7014	16.0033
269	管理	75	6.6642	4.0818	5.2433	15.9893
270	CalverleyPM	5	11.9871	2.0	2.0	15.9871
271	焦虑和抑郁	4	11.9733	2.0	2.0	15.9733
272	运动能力	13	8.8794	3.5466	3.5466	15.9725
273	异常	33	7.2387	4.2565	4.4761	15.9713
274	布地奈德	5	12.1177	1.9219	1.9219	15.9616
275	厄多司坦	3	12.7807	1.585	1.585	15.9506
276	形成	10	9.9062	2.9219	3.1219	15.9501
277	DOI101164rccm	22	7.204	4.3685	4.3685	15.941
278	DOI101016	65	7.37	5.9608	2.6086	15.9395
279	福莫特罗	9	10.6932	2.9477	2.281	15.922
280	弥散	10	12.1798	2.8464	0.8813	15.9075
281	规范	12	9.6332	3.1887	3.085	15.9069
282	早期	41	7.6377	4.2352	4.0251	15.898
283	支气管舒张剂	66	8.3873	3.2138	4.2937	15.8948
284	甚至	6	10.7218	2.585	2.585	15.8917
285	沙丁胺醇	5	12.0437	1.9219	1.9219	15.8876
286	积极	9	10.2137	2.9477	2.7255	15.8868
287	依据	16	8.2601	3.75	3.875	15.8851
288	crossover	5	13.8802	1.0	1.0	15.8802
289	lungfunction	12	9.6063	3.2516	3.0221	15.88
290	浸润	4	13.5583	0.8113	1.5	15.8696
291	不同	55	6.8049	5.1584	3.9009	15.8642
292	没有	24	7.4498	3.9906	4.4183	15.8587
293	SystRev	15	11.6287	1.0389	3.1899	15.8575
294	差异	20	9.33	2.5955	3.9219	15.8474
295	介绍	4	12.3433	2.0	1.5	15.8433
296	职业	8	12.2888	2.25	1.2988	15.8376
297	负责	7	10.5041	2.5216	2.8074	15.8331
298	positivepressure	3	13.3068	1.585	0.9183	15.81
299	稳定期	48	7.6756	4.6211	3.5042	15.8009
300	尼古丁	5	12.9062	1.9219	0.971	15.7991
301	lowdose	3	12.6287	1.585	1.585	15.7986
302	托溴铵	13	11.3519	0.8905	3.5466	15.7889
303	PIFR30Lmin	4	12.7807	1.5	1.5	15.7807
304	ZhengJP	4	13.7807	1.0	1.0	15.7807
305	王凤燕张冬莹	4	12.2782	2.0	1.5	15.7782
306	内容	26	8.3752	2.9587	4.4406	15.7746
307	依赖	7	10.7177	2.5216	2.5216	15.761
308	精神	6	12.3657	1.9183	1.4591	15.7431
309	意义	17	8.8644	2.8895	3.9698	15.7238
310	严重程度	49	8.0015	3.6177	4.1042	15.7234
311	乙酰	7	12.9062	1.9502	0.8631	15.7196
312	ERSPH指南	3	13.1957	0.9183	1.585	15.699
313	populationbased	4	12.8738	0.8113	2.0	15.6851
314	显示	28	8.8332	2.6782	4.1645	15.6759
315	世界卫生组织	4	12.6652	1.5	1.5	15.6652
316	肺功能	148	5.4938	5.5504	4.6196	15.6638
317	检测	21	7.3899	4.0707	4.2018	15.6624
318	合并症	62	6.9825	4.1621	4.5175	15.6621
319	维持	31	8.8381	4.1069	2.6961	15.6411
320	蛋白	16	10.7639	2.7806	2.0919	15.6364
321	燃料	9	11.8213	1.8366	1.9749	15.6329
322	远程	18	8.637	3.7947	3.1972	15.6288
323	metaanalysis	10	11.7807	2.161	1.6855	15.6271
324	DatabaseSystRev	12	11.7218	0.8167	3.085	15.6235
325	COVID19	7	10.2812	2.5216	2.8074	15.6102
326	随着	12	9.166	3.4183	3.0221	15.6063
327	燃烧	5	12.5583	1.5219	1.5219	15.6022
328	长期	55	6.8391	4.738	4.0238	15.6008
329	装置	36	10.7331	1.3198	3.5358	15.5886
330	noninvasive	7	13.588	1.0	1.0	15.588
331	formoterolfumarate	4	12.5843	1.5	1.5	15.5843
332	DOI101164	42	7.3713	5.3447	2.8659	15.5819
333	继续	8	10.0803	2.75	2.75	15.5803
334	落实	8	10.0664	2.75	2.75	15.5664
335	贡献	5	11.7218	1.5219	2.3219	15.5657
336	基础	31	9.0466	3.4686	3.0412	15.5564
337	减轻	20	8.1572	4.0219	3.371	15.5501
338	干预措施	9	9.7218	2.6416	3.1699	15.5333
339	首选	15	8.9106	2.9559	3.6402	15.5067
340	糖皮质激素	30	8.7715	2.5431	4.1899	15.5045
341	发生	73	6.1279	4.4712	4.9029	15.502
342	尤其是	18	7.8561	4.0588	3.5724	15.4873
343	不良反应	26	7.653	3.6235	4.2099	15.4864
344	司坦	8	11.0803	1.4056	3.0	15.4859
345	由于	21	7.4389	3.9754	4.0707	15.4849
346	变化	33	7.1611	3.8318	4.4879	15.4808
347	longactingbeta2	6	11.3068	2.2516	1.9183	15.4767
348	systemicinflammation	3	12.3068	1.585	1.585	15.4767
349	它们	6	10.9733	2.2516	2.2516	15.4766
350	阿奇	6	12.9062	1.9183	0.65	15.4745
351	inhaledcorticosteroids	4	11.9733	2.0	1.5	15.4733
352	工作	20	8.4402	3.7219	3.3087	15.4709
353	社区	11	9.7087	3.2776	2.4817	15.4681
354	进展	47	7.5931	2.8261	5.0279	15.4471
355	基层医疗机构	14	9.1368	3.182	3.1281	15.4469
356	CPMPICH	4	11.4468	2.0	2.0	15.4468
357	刺激	11	9.6817	2.6635	3.0958	15.441
358	DOI103760cmaj	20	7.3884	4.2219	3.8219	15.4322
359	啰音	3	12.9062	0.9183	1.585	15.4095
360	李姝润	3	12.9062	0.9183	1.585	15.4095
361	修订版	29	9.6359	3.5723	2.2008	15.409
362	胸部	16	8.1249	3.7028	3.5778	15.4055
363	双盲	6	10.8953	2.2516	2.2516	15.3986
364	困难	105	9.494	0.6172	5.2796	15.3907
365	ICSLABA	22	7.6652	3.8454	3.8797	15.3902
366	开展	14	8.6175	3.5216	3.2359	15.375
367	ChronicObstructive	13	10.9893	3.2389	1.1451	15.3733
368	弥漫	4	12.5583	2.0	0.8113	15.3696
369	受体激动剂	27	8.5328	2.7279	4.1064	15.367
370	组织	13	9.7958	2.3158	3.2389	15.3505
371	DOI101136	25	7.5404	4.6439	3.1591	15.3433
372	团队	8	12.4953	1.5488	1.2988	15.3429
373	例如	14	8.1534	3.6645	3.5216	15.3396
374	采取	8	9.581	2.75	3.0	15.331
375	JEurRespirJ	29	7.0303	4.3197	3.9783	15.3283
376	基层	44	8.8958	4.8148	1.6142	15.3248
377	30Lmin	6	11.8213	1.2516	2.2516	15.3246
378	noninvasivepositive	3	12.8213	1.585	0.9183	15.3246
379	资料	5	11.0803	1.9219	2.3219	15.3241
380	探讨	4	11.3213	2.0	2.0	15.3213
381	AmJRespirCritCareMed	33	9.5521	1.3386	4.4306	15.3213
382	obstructivepulmonarydisease	93	8.7122	2.4071	4.2009	15.3202
383	inpatientswith	30	7.6532	4.5232	3.1424	15.3188
384	频繁	8	10.9103	2.4056	2.0	15.316
385	常规	25	7.3378	3.8937	4.0839	15.3153
386	exercisecapacity	3	12.1433	1.585	1.585	15.3132
387	FEVFVC07	9	9.6287	2.7255	2.9477	15.3019
388	稳定	65	8.5688	4.8975	1.8249	15.2912
389	chronicobstructive	116	8.6723	4.1566	2.4569	15.2858
390	储物罐	3	12.7807	0.9183	1.585	15.284
391	绞痛	6	12.0437	0.65	2.585	15.2787
392	更新	37	7.7277	4.2266	3.3147	15.269
393	手术	11	8.6932	3.2776	3.2776	15.2485
394	系统	43	10.0032	2.3011	2.9352	15.2395
395	高碳酸血症	15	7.8738	3.7736	3.5899	15.2373
396	pMDISMI	7	10.1787	2.5216	2.5216	15.2219
397	报告	7	11.7136	2.1281	1.3788	15.2204
398	清晰	3	12.0437	1.585	1.585	15.2137
399	阶段	3	12.0437	1.585	1.585	15.2137
400	本文	15	8.5139	3.7736	2.9232	15.2107
401	至少	15	8.0588	3.5069	3.6402	15.2059
402	支持	27	6.8351	3.9121	4.4586	15.2058
403	fumaratemetereddose	3	13.3657	0.9183	0.9183	15.2022
404	从而	12	8.1949	3.585	3.4183	15.1982
405	识别	14	8.3921	3.4677	3.3249	15.1846
406	patientswith	52	8.8017	2.7532	3.6294	15.1842
407	支气管扩张	28	8.6963	3.8198	2.6624	15.1785
408	编辑崔莎	3	12.6652	0.9183	1.585	15.1685
409	生活质量	19	8.1167	3.0106	4.0374	15.1647
410	clinicalpractice	4	11.6514	2.0	1.5	15.1514
411	总体来说	4	11.1368	2.0	2.0	15.1368
412	黏膜	6	10.6287	2.2516	2.2516	15.1319
413	技巧	4	11.6108	1.5	2.0	15.1108
414	方式	15	7.8794	3.4566	3.7736	15.1095
415	焦虑	14	9.5202	3.3249	2.2638	15.1088
416	比较	16	7.7779	3.75	3.5778	15.1057
417	功能	216	7.4708	2.409	5.2229	15.1027
418	一般	14	8.2549	3.6645	3.182	15.1014
419	委员会	14	9.2108	2.217	3.6645	15.0924
420	灵敏	4	12.2782	2.0	0.8113	15.0895
421	明显	31	7.8522	3.6634	3.56	15.0756
422	雾化器	8	9.5712	2.75	2.75	15.0712
423	反映	8	9.5664	2.75	2.75	15.0664
424	缓解	13	9.3519	3.2389	2.4697	15.0604
425	模拟	4	12.5583	1.0	1.5	15.0583
426	MetaAnalysis	4	12.5583	1.5	1.0	15.0583
427	肺功能检查	42	5.9397	4.2958	4.8146	15.0501
428	心力衰竭	22	8.3393	3.1747	3.5338	15.0477
429	预后	31	6.5558	4.1682	4.3203	15.0443
430	外周	19	8.9585	3.9321	2.1398	15.0305
431	CritCareMed	40	9.3702	1.0171	4.6313	15.0185
432	DOI101186	15	7.6514	3.9069	3.4566	15.0149
433	处理	20	8.2808	3.1087	3.6219	15.0115
434	起始	17	8.9024	3.6901	2.4165	15.009
435	参考	29	8.2507	3.8095	2.942	15.0021
436	ThoracSoc	6	12.5583	0.65	1.7925	15.0008
437	手口协	12	10.7027	3.085	1.2075	14.9952
438	教授	8	10.9394	2.75	1.2988	14.9882
439	广州	14	10.8876	2.8352	1.2638	14.9867
440	反应	60	6.985	2.9425	5.0566	14.984
441	此外	12	7.9669	3.585	3.4183	14.9702
442	resultsfrom	4	12.4588	0.9183	1.585	14.962
443	空气污染	12	9.8072	2.4591	2.6887	14.9551
444	placebocontrolled	5	10.7103	1.9219	2.3219	14.9542
445	应用	61	4.7193	5.2566	4.9776	14.9536
446	支气管	150	7.8786	4.548	2.5232	14.9498
447	水肿	10	9.166	2.4464	3.3219	14.9344
448	仍然	10	9.0821	3.1219	2.7219	14.926
449	免疫调节	4	10.9227	2.0	2.0	14.9227
450	pulmonarydisease	124	8.7678	1.8847	4.2676	14.9201
451	部分	28	6.7306	4.8074	3.3769	14.9148
452	平滑肌	6	10.0772	2.2516	2.585	14.9138
453	systematicreview	12	11.6932	1.8676	1.3486	14.9095
454	综合	33	8.2458	3.9047	2.755	14.9055
455	randomisedcontrolled	10	10.4208	2.3219	2.161	14.9037
456	季节	5	10.6597	1.9219	2.3219	14.9035
457	咳痰	18	8.8953	2.7448	3.2608	14.901
458	地区	11	8.7087	2.914	3.2776	14.9003
459	Globalstrategy	5	11.8547	2.3219	0.7219	14.8986
460	httpwww	6	12.4428	1.7925	0.65	14.8853
461	合并	115	7.1615	4.777	2.9334	14.8719
462	作为	35	6.0292	4.569	4.2721	14.8703
463	影像	12	9.5637	2.8554	2.4508	14.8699
464	纤毛	6	11.8213	1.7925	1.2516	14.8654
465	颗粒	10	10.7807	2.1219	1.961	14.8636
