排名	词语	频次	PMI	左熵	右熵	得分	分类原因
123	Setal	20	6.3368	4.3219	3.9842	14.6429	中等质量待审核
124	静息	6	9.8034	2.585	2.2516	14.64	中等质量待审核
125	LAMALABA	21	7.9078	3.749	2.9803	14.6371	中等质量待审核
126	郑劲平	5	10.2996	2.3219	1.9219	14.5434	中等质量待审核
127	KOVACSG	3	11.3657	1.585	1.585	14.5356	中等质量待审核
128	清楚	4	11.7218	0.8113	2.0	14.5331	中等质量待审核
129	缩唇	5	11.4588	2.3219	0.7219	14.5026	中等质量待审核
130	污染	20	9.8523	1.3918	3.2464	14.4905	中等质量待审核
131	专家共识	7	10.5006	1.8424	2.1281	14.471	中等质量待审核
132	西林	4	11.4468	1.5	1.5	14.4468	中等质量待审核
133	氟替卡松	6	11.6652	0.9183	1.7925	14.376	中等质量待审核
134	验证	16	7.8899	3.4528	3.0306	14.3734	中等质量待审核
135	借助	3	11.1957	1.585	1.585	14.3657	中等质量待审核
136	上述	10	8.3213	3.1219	2.9219	14.3651	中等质量待审核
137	studyJ	32	6.6379	4.125	3.6009	14.3639	中等质量待审核
138	球菌疫苗	10	10.5583	1.1568	2.6464	14.3615	中等质量待审核
139	短效	26	7.9132	3.3826	3.0545	14.3503	中等质量待审核
140	深圳市	4	11.8421	1.0	1.5	14.3421	中等质量待审核
141	林克拉	3	12.4912	0.9183	0.9183	14.3278	中等质量待审核
142	仪器	8	10.8343	1.0613	2.4056	14.3012	中等质量待审核
143	专家	17	9.1993	2.6601	2.4404	14.2998	中等质量待审核
144	粉尘	6	11.7907	0.9183	1.585	14.294	中等质量待审核
145	培养	5	10.4302	1.9219	1.9219	14.2741	中等质量待审核
146	基础上	14	8.3119	2.2608	3.6645	14.2372	中等质量待审核
147	罗氟	18	10.1627	3.2391	0.8031	14.2049	中等质量待审核
148	jissn	26	9.1957	2.5412	2.4416	14.1786	中等质量待审核
149	失衡	9	9.5328	1.4466	3.1699	14.1493	中等质量待审核
150	休息	3	11.6108	1.585	0.9183	14.114	中等质量待审核
151	肺气肿	29	5.8972	4.1683	4.0473	14.1128	含医学特征词但质量一般
152	抗菌	36	8.165	4.2255	1.7087	14.0992	中等质量待审核
153	克拉	4	11.7807	0.8113	1.5	14.092	中等质量待审核
154	深圳	5	11.8421	1.5219	0.7219	14.086	中等质量待审核
155	LABAICS	17	7.2932	3.1019	3.6901	14.0852	中等质量待审核
156	禁忌证	7	9.8899	1.6645	2.5216	14.0761	中等质量待审核
157	药物治疗	51	5.2519	4.236	4.576	14.0639	含医学特征词但质量一般
158	抗菌药物	15	7.4302	3.4566	3.1069	13.9937	含医学特征词但质量一般
159	教授团队	5	10.9394	2.3219	0.7219	13.9832	中等质量待审核
160	肺癌	20	5.7762	4.2219	3.9842	13.9823	含医学特征词但质量一般
161	感觉	9	8.8343	2.5033	2.6416	13.9791	中等质量待审核
162	乙酰半胱氨酸	5	10.1177	1.5219	2.3219	13.9616	中等质量待审核
163	国家	22	7.3028	3.4429	3.209	13.9546	中等质量待审核
164	隆溴铵	9	10.7218	0.5033	2.7255	13.9505	中等质量待审核
165	强烈	3	10.7707	1.585	1.585	13.9406	中等质量待审核
166	实验室	5	10.2364	1.371	2.3219	13.9293	中等质量待审核
167	房颤	6	12.6287	0.65	0.65	13.9287	中等质量待审核
168	滑肌	7	10.5292	0.5917	2.8074	13.9282	中等质量待审核
169	雾化	24	7.6501	3.9702	2.2925	13.9128	含医学特征词但质量一般
170	居家	6	9.7412	1.9183	2.2516	13.9111	中等质量待审核
171	补充	6	10.1957	2.2516	1.4591	13.9065	中等质量待审核
172	磷酸二酯酶	3	12.0437	0.9183	0.9183	13.8803	含医学特征词但质量一般
173	承担	5	11.7807	0.7219	1.371	13.8736	中等质量待审核
174	二氧化	13	8.8981	3.0851	1.8843	13.8674	含医学特征词但质量一般
175	任务	7	9.6032	2.1281	2.1281	13.8593	中等质量待审核
176	长效	42	7.0092	4.1349	2.7073	13.8514	中等质量待审核
177	陈典隆寰宇	3	11.3213	1.585	0.9183	13.8245	中等质量待审核
178	AGUSTIA	4	9.7958	2.0	2.0	13.7958	中等质量待审核
179	炎症	27	5.9705	3.6899	4.1343	13.7947	含医学特征词但质量一般
180	JChest	21	6.6677	3.2369	3.8802	13.7847	中等质量待审核
181	丧失	3	10.6108	1.585	1.585	13.7807	中等质量待审核
182	满足	3	10.6108	1.585	1.585	13.7807	中等质量待审核
183	漏诊	9	8.4063	2.6416	2.7255	13.7734	中等质量待审核
184	右心	14	7.8798	3.8074	2.0742	13.7613	含医学特征词但质量一般
185	国际	10	8.4678	2.6464	2.6464	13.7607	中等质量待审核
186	慢阻肺病患者	46	5.4698	4.2569	4.0174	13.7441	含医学特征词但质量一般
187	静脉	9	8.9534	2.7255	2.0588	13.7377	含医学特征词但质量一般
188	延长	7	8.1177	2.8074	2.8074	13.7324	中等质量待审核
189	下肢	5	9.0803	2.3219	2.3219	13.7241	中等质量待审核
190	意愿	5	9.8358	1.9219	1.9219	13.6797	中等质量待审核
191	更好	17	7.5541	3.9698	2.1451	13.6691	中等质量待审核
192	LAMALABALAMA	7	8.0233	2.8074	2.8074	13.638	中等质量待审核
193	伴随	8	7.8859	3.0	2.75	13.6359	中等质量待审核
194	咳嗽咳痰	6	9.9227	1.7925	1.9183	13.6335	含医学特征词但质量一般
195	论文	6	8.4498	2.585	2.585	13.6197	中等质量待审核
196	种族	8	8.581	2.5	2.5	13.581	中等质量待审核
197	衰老	6	8.7254	2.2516	2.585	13.562	中等质量待审核
198	医学	85	6.6406	3.3287	3.5797	13.5489	中等质量待审核
199	扩张	38	8.809	1.3214	3.4028	13.5333	含医学特征词但质量一般
200	资源	6	10.6063	0.65	2.2516	13.508	中等质量待审核
201	失败	5	10.6108	0.971	1.9219	13.5036	中等质量待审核
202	forthe	19	7.1312	3.4714	2.9001	13.5026	中等质量待审核
203	文献报	7	10.3884	2.5216	0.5917	13.5017	中等质量待审核
204	暴露史	9	8.8702	1.4466	3.1699	13.4868	中等质量待审核
205	医院陈	7	7.8618	2.8074	2.8074	13.4765	中等质量待审核
