排名	词语	频次	PMI	左熵	右熵	得分	分类原因
706	持续时间	5	8.0437	1.9219	2.3219	12.2876	含结构虚字
707	肺减容术	10	6.0392	2.9219	3.3219	12.2831	含结构虚字
708	外周血	11	7.8977	3.2776	1.0958	12.2711	未满足任何正向条件
709	展望	4	8.7695	1.5	2.0	12.2695	未满足任何正向条件
710	志201336	3	9.7657	0.9183	1.585	12.269	未满足任何正向条件
711	考虑更换	5	9.222	2.3219	0.7219	12.2659	含结构虚字
712	添加	9	7.4258	2.6416	2.1972	12.2645	未满足任何正向条件
713	死亡风险	7	7.5046	2.2359	2.5216	12.2621	未满足任何正向条件
714	临床开发	5	8.0178	1.9219	2.3219	12.2617	含结构虚字
715	totiotropiumversus	4	10.6377	0.8113	0.8113	12.2603	过长英文
716	过程中	8	6.51	3.0	2.75	12.26	含结构虚字
717	流行性感冒	3	9.0803	1.585	1.585	12.2502	含结构虚字
718	修订有关	6	8.0664	2.2516	1.9183	12.2364	含结构虚字
719	转诊至	5	9.3433	1.5219	1.371	12.2362	未满足任何正向条件
720	症状和	25	3.9676	4.3239	3.9435	12.2349	含结构虚字
721	效应	19	4.2619	4.0374	3.9321	12.2314	含结构虚字
722	次要终点	5	7.9863	1.9219	2.3219	12.2301	含结构虚字
723	额外	3	9.7218	1.585	0.9183	12.2251	未满足任何正向条件
724	diagnosismanagementandpreventionofchronic	3	9.0528	1.585	1.585	12.2227	过长英文
725	patientswithacuteexacerbationofchronic	3	9.0528	1.585	1.585	12.2227	过长英文
