排名	词语	频次	PMI	左熵	右熵	综合得分
381	胸闷	6	10.5843	2.2516	1.7925	14.6284
382	三联疗法	6	10.5843	1.4591	2.585	14.6284
383	associatedwith	10	8.9733	2.5219	3.1219	14.6172
384	结果	38	7.5569	3.5391	3.4884	14.5845
385	百分比	9	9.9657	1.4466	3.1699	14.5823
386	机制	25	7.6314	2.8507	4.0995	14.5815
387	发作	45	6.0579	4.4081	4.1023	14.5683
388	近年来	8	9.3984	2.75	2.4056	14.5541
389	编辑	6	12.4428	0.65	1.4591	14.552
390	respiratorydiseases	4	12.2364	0.8113	1.5	14.5477
391	眠呼吸暂停	3	12.0437	0.9183	1.585	14.547
392	骤停	3	12.0437	0.9183	1.585	14.547
393	左氧氟沙星	3	12.0437	1.585	0.9183	14.547
394	additiontotiotropiumversus	3	12.0437	1.585	0.9183	14.547
395	郑劲平	5	10.2996	2.3219	1.9219	14.5434
396	特罗	31	8.5285	2.2039	3.8087	14.5411
397	横径	3	11.3657	1.585	1.585	14.5356
398	纵向	3	11.3657	1.585	1.585	14.5356
399	KOVACSG	3	11.3657	1.585	1.585	14.5356
400	清楚	4	11.7218	0.8113	2.0	14.5331
401	并发症	17	7.2064	3.8522	3.4548	14.5134
402	恶化	12	8.2351	3.0221	3.2516	14.5088
403	心血管	38	7.6903	3.8586	2.9569	14.5059
404	缩唇	5	11.4588	2.3219	0.7219	14.5026
405	NEnglJMed	16	9.6008	1.5059	3.3927	14.4994
406	体重指数	14	8.5657	2.6924	3.2359	14.494
407	和或	54	3.9857	5.3195	5.1854	14.4906
408	污染	20	9.8523	1.3918	3.2464	14.4905
409	表现为	14	7.3	3.5216	3.6645	14.4861
410	长期规律	6	9.3104	2.585	2.585	14.4803
411	versusdual	3	11.3068	1.585	1.585	14.4767
412	functiontrajectories	3	11.3068	1.585	1.585	14.4767
413	右心室	6	9.9733	2.585	1.9183	14.4766
414	专家共识	7	10.5006	1.8424	2.1281	14.471
415	pressureventilation	3	12.6287	0.9183	0.9183	14.4653
416	胃肠	3	11.9506	1.585	0.9183	14.4539
417	超过	12	8.2817	2.9183	3.2516	14.4517
418	茚达特罗	5	10.2078	2.3219	1.9219	14.4517
